,WEEK #,COCKTAIL
Vermouth [Dry],60,Apertif
Vermouth [Dry],65,Bronx & Income Tax
Vermouth [Dry],73,Martini [guest post by /u/highbrowalcoholic]
Vermouth [Dry],91,Algonquin [guest post by /u/Spodyody]
Vermouth [Dry],99,Brooklyn [guest post by /u/bitcheslovebanjos]
Vermouth [Dry],105,Old Pal
Vermouth [Dry],110,Chrysanthemum
Vermouth [Dry],115,Sweet and Vicious
Vermouth [Sweet],1,Bobby Burns
Vermouth [Sweet],2,The Manhattan
Vermouth [Sweet],5,Boulevardier
Vermouth [Sweet],9,Greenpoint [guest post by /u/wallunit]
Vermouth [Sweet],10,Vieux Carré
Vermouth [Sweet],11,Negroni
Vermouth [Sweet],15,Martinez
Vermouth [Sweet],35,Corpse Reviver No. 1
Vermouth [Sweet],40,Zombie [guest post by /u/bitcheslovebanjos]
Vermouth [Sweet],42,Delmonico
Vermouth [Sweet],59,Blood and Sand
Vermouth [Sweet],63,Remember the Maine [guest post by /u/bitcheslovebanjos]
Vermouth [Sweet],65,Bronx & Income Tax
Vermouth [Sweet],98,Harvard
Vermouth [Sweet],101,Rob Roy
Vermouth [Sweet],106,Cocktail a la Lousiane
Vermouth [Sweet],104a,Vintage Manhattan
Vermouth [Sweet],104b,Vintage Negroni
Vermouth [Sweet],71b,The Other Left
Vermouth [Sweet],75b,Rum Manhattan
Vermouth [Sweet],109,Bijou
Vermouth [Sweet],112,Old Ironsides
Vermouth [Sweet],116,Kingston Negroni
Vodka,73,Martini [guest post by /u/highbrowalcoholic]
Vodka,76,Gimlet
Water,103,Hot Toddy
Water [Mineral],27,Daiquiri
Water [Mineral],80,Mojito
Water [Soda],28,Mai Tai
Water [Soda],30,Southside and Southern Exposure
Water [Soda],52,Old-Fashioned
Water [Soda],70,Singapore Sling
Water [Soda],80,Mojito
Water [Soda],88,Tiki Edition – Navy Grog
Water [Soda],90,Sloe Gin Fizz
Whiskey* [Bourbon],5,Boulevardier
Whiskey* [Bourbon],7,Lion’s Tail
Whiskey* [Bourbon],44,Godfather
Whiskey* [Bourbon],46,Scofflaw
Whiskey* [Bourbon],52,Old-Fashioned
Whiskey* [Bourbon],55,Amaretto Sour
Whiskey* [Bourbon],56,Ward Eight
Whiskey* [Bourbon],59,Blood and Sand
Whiskey* [Bourbon],69,Mint Julep [guest post by /u/GWCad]
Whiskey* [Bourbon],79,Brown Derby
Whiskey* [Bourbon],100,Black Manhattan
Whiskey* [Bourbon],108,Paper Plane
Whiskey* [Bourbon],104a,Vintage Manhattan
Whiskey* [Bourbon],47a,Vasco de Gama
Whiskey* [Bourbon],71a,Revolver
Whiskey* [Bourbon],71b,The Other Left
Whiskey* [Bourbon],114,Conference
Whiskey* [Canadian],2,The Manhattan
Whiskey* [Canadian],46,Scofflaw
Whiskey* [Canadian],52,Old-Fashioned
Whiskey* [Canadian],96,Toronto [guest post by /u/_chrono]
Whiskey* [Canadian],99,Brooklyn [guest post by /u/bitcheslovebanjos]
Whiskey* [Canadian],105,Old Pal
Whiskey* [Irish],34,Cameron’s Kick
Whiskey* [Rye],2,The Manhattan
Whiskey* [Rye],5,Boulevardier
Whiskey* [Rye],9,Greenpoint [guest post by /u/wallunit]
Whiskey* [Rye],10,Vieux Carré
Whiskey* [Rye],16,Final Ward
Whiskey* [Rye],21,Monte Carlo
Whiskey* [Rye],26, Improved Whiskey Cocktail
Whiskey* [Rye],33,Rattlesnake [guest post by /u/GWCad]
Whiskey* [Rye],36,Armistice
Whiskey* [Rye],43,Diamondback
Whiskey* [Rye],45,Harvest Moon
Whiskey* [Rye],46,Scofflaw
Whiskey* [Rye],47b,Afonso de Albuquerque
Whiskey* [Rye],48,Twelve Mile Limit
Whiskey* [Rye],52,Old-Fashioned
Whiskey* [Rye],56,Ward Eight
Whiskey* [Rye],57,Bronco Buster
Whiskey* [Rye],61,Sazerac
Whiskey* [Rye],63,Remember the Maine [guest post by /u/bitcheslovebanjos]
Whiskey* [Rye],69,Mint Julep [guest post by /u/GWCad]
Whiskey* [Rye],91,Algonquin [guest post by /u/Spodyody]
Whiskey* [Rye],96,Toronto [guest post by /u/_chrono]
Whiskey* [Rye],99,Brooklyn [guest post by /u/bitcheslovebanjos]
Whiskey* [Rye],100,Black Manhattan
Whiskey* [Rye],103,Hot Toddy
Whiskey* [Rye],105,Old Pal
Whiskey* [Rye],106,Cocktail a la Lousiane
Whiskey* [Rye],104a,Vintage Manhattan
Whiskey* [Rye],114,Conference
Whiskey* [Rye],115,Sweet and Vicious
