,WEEK #,COCKTAIL
Brandy [Cognac],48,Twelve Mile Limit
Brandy [Cognac],49,Eggnog
Brandy [Cognac],50,Hot Milk Punch
Brandy [Cognac],52,Old-Fashioned
Brandy [Cognac],53,Astor Hotel Special [guest post by /u/bitcheslovebanjos]
Brandy [Cognac],58,Between the Sheets [guest post by /u/GWCad]
Brandy [Cognac],61,Sazerac
Brandy [Cognac],62,Champs Élysées
Brandy [Cognac],66,Deauville
Brandy [Cognac],77,Hoop La!
Brandy [Cognac],98,Harvard
Brandy [Cognac],102,Admiral Russel's Punch
Brandy [Cognac],106,Cocktail a la Lousiane
Brandy [Cognac],102,Admiral Russell's Punch
Brandy [Cognac],103,Hot Toddy
Brandy [Cognac],114,Conference
Brandy [Cognac],121,Little Miss Annabelle
Calvados,13,Jack Rose
Calvados,35,Corpse Reviver No. 1
Calvados,43,Diamondback
Calvados,45,Harvest Moon
Calvados,51,Widow’s Kiss
Calvados,66,Deauville
Calvados,68,Jake Barnes
Calvados,94,Savoy Tango
Calvados,95,Royal Smile
Calvados,114,Conference
Campari,5,Boulevardier
Campari,11,Negroni
Campari,23,Bitter End
Campari,38,Lucien Gaudin
Campari,60,Apertif
Campari,85,Tiki Edition – Jungle Bird
Campari,108,Paper Plane
Campari,104b,Vintage Negroni
Campari,71b,The Other Left
Campari,116,Kingston Negroni
Campari,119,Golden Beautiful
Chartreuse [Green],16,Final Ward
Chartreuse [Green],36,Armistice
Chartreuse [Green],43,Diamondback
Chartreuse [Green],45,Harvest Moon
Chartreuse [Green],62,Champs Élysées
Chartreuse [Green],74,Chartreuse Swizzle
Chartreuse [Green],82,Cloister [guest post by /u/GWCad]
Chartreuse [Green],89,Industry Sour
Chartreuse [Green],109,Bijou
Chartreuse [Yellow],9,Greenpoint [guest post by /u/wallunit]
Chartreuse [Yellow],43,Diamondback
Chartreuse [Yellow],51,Widow’s Kiss
Chartreuse [Yellow],54,Alaska
Chartreuse [Yellow],82,Cloister [guest post by /u/GWCad]
Chartreuse [Yellow],113,Muddled Mission
Cherry Heering,59,Blood and Sand
Cherry Heering,63,Remember the Maine [guest post by /u/bitcheslovebanjos]
Cherry Heering,70,Singapore Sling
China China,99,Brooklyn [guest post by /u/bitcheslovebanjos]
Coffee Liqueur,71a,Revolver
Coffee Liqueur,71b,The Other Left
Cointreau,3,Corpse Reviver No. 2
Cointreau,8,Sidecar
Cointreau,14,Pegu Club [guest post by /u/ClamydiaDellArte]
Cointreau,20,White Lady [guest post by /u/gregbenson314]
Cointreau,22,Claridge
Cointreau,28,Mai Tai
Cointreau,38,Lucien Gaudin
Cointreau,58,Between the Sheets [guest post by /u/GWCad]
Cointreau,66,Deauville
Cointreau,70,Singapore Sling
Cointreau,77,Hoop La!
Cointreau,86,Tiki Edition – Royal Bermuda Yacht Club [guest post by /u/gregbenson314]
Cointreau,117,Water Lily
Créme de Cacao,67,20th Century [guest post by /u/whaleodile]
Créme de Violette,117,Water Lily
Cucumber,17,Pimm’s Cup
Curaçao,2,The Manhattan
Curaçao,3,Corpse Reviver No. 2
Curaçao,14,Pegu Club [guest post by /u/ClamydiaDellArte]
Curaçao,15,Martinez
Curaçao,28,Mai Tai
Curaçao,40,Zombie [guest post by /u/bitcheslovebanjos]
Curaçao,57,Bronco Buster
Curaçao,88,Tiki Edition – Navy Grog
Egg [White],6,Ramos Gin Fizz
Egg [White],20,White Lady [guest post by /u/gregbenson314]
Egg [White],24,Clover Club
Egg [White],25,Angostura Sour [guest post by /u/montreal-gloryhole]
Egg [White],33,Rattlesnake [guest post by /u/GWCad]
